kata name,developer,kata rank,publish date,total stars,no. collections kata part of,times attempted,times skipped,total code submissions,total times completed,total times completed (P),percentage of votes with positive feedback [%],total votes,total very satisfied,total somewhat satisfied,total not satisfied,total rank assessment,average assessed rank,highest assessed rank,lowest assessed rank,tags
Thinking & Testing : Math of Primary School,myjinxin2015,7 kyu,"Mar 4, 2016",17,7,1931,28,4005,689,326,86,211,164,35,12,,,,,"Puzzles, Games"
String -> X-Iterations -> String,Jomo Pipi,4 kyu,"Apr 29, 2018",85,19,1681,247,2843,174,56,91,49,41,7,1,3.0,4 kyu,2 kyu,6 kyu,"Algorithms, Puzzles, Games, Mathematics, Numbers"
Crontab Parser,EdgyEdgemond,5 kyu,"Sep 13, 2019",9,0,129,4,728,33,33,89,14,12,1,1,3.0,5 kyu,5 kyu,5 kyu,Fundamentals
Correct the mistakes of the character recognition software,denesnori,8 kyu,"Jul 5, 2016",185,86,22744,889,49425,16341,"5,801",92,2459,2111,323,25,,,,,Fundamentals
Student's Final Grade,ledocod,8 kyu,"Apr 13, 2018",79,36,15563,264,62203,12119,"6,572",89,1898,1522,321,55,10.0,7 kyu,7 kyu,8 kyu,Fundamentals
Grasshopper - Terminal game combat function,rom4eg,8 kyu,"Jan 3, 2017",54,28,12254,213,21690,10826,"3,868",89,1788,1456,288,44,115.0,7 kyu,7 kyu,8 kyu,Fundamentals
Closest elevator,wildhamster26,8 kyu,"Jan 16, 2019",88,9,9675,146,29574,6601,"3,189",92,1205,1024,162,19,8.0,7 kyu,6 kyu,8 kyu,Algorithms
Z-algorithm,dshulgin2015,5 kyu,"Feb 28, 2016",7,5,226,12,264,39,39,78,18,13,2,3,9.0,5 kyu,3 kyu,7 kyu,Algorithms
Gnomes and Hats: A Horror Story,RussellSpitzer,5 kyu,"Aug 30, 2016",5,3,290,102,426,39,39,89,14,11,3,0,6.0,5 kyu,5 kyu,6 kyu,Puzzles
Author Disambiguation: a name is a Name!,ebreton,6 kyu,"Oct 21, 2016",8,0,319,97,292,30,30,79,17,12,3,2,7.0,5 kyu,4 kyu,7 kyu,"Algorithms, Puzzles, Games, Strings"
AdFly Encoder and Decoder,legndery,5 kyu,"Jan 4, 2016",15,2,454,144,342,48,48,84,16,13,1,2,7.0,5 kyu,4 kyu,6 kyu,"Algorithms, Ciphers, Cryptography, Security"
Write your own pseudorandom number generator!,user2514386,6 kyu,"Jan 8, 2017",9,2,283,5,1221,42,42,62,21,10,6,5,5.0,5 kyu,4 kyu,6 kyu,"Algorithms, Numbers"
Checkout Line Pricing,pschoenfelder,5 kyu,"Jan 27, 2017",8,0,222,11,2369,27,27,72,16,10,3,3,6.0,5 kyu,3 kyu,7 kyu,"Algorithms, Design, Principles"
Electron configuration of chemical elements,nik0laz,5 kyu,"Jul 31, 2017",24,6,312,5,1008,34,18,77,11,7,3,1,5.0,5 kyu,5 kyu,6 kyu,"Fundamentals, Arrays, Objects, Loops, Control, Flow, Basic, Language, Features, Strings"
Extract the Electrons,user7552630,6 kyu,"Jun 13, 2019",2,2,153,9,194,43,43,83,18,13,4,1,6.0,6 kyu,6 kyu,8 kyu,Fundamentals
Beggar Thy Neighbour,ChristianECooper,4 kyu,"Mar 29, 2017",16,3,337,101,584,55,55,100,19,19,0,0,3.0,4 kyu,4 kyu,5 kyu,"Algorithms, Games"
Data mining #2,smiks,4 kyu,"May 13, 2017",21,7,381,66,936,30,30,82,11,8,2,1,3.0,3 kyu,2 kyu,6 kyu,"Algorithms, Mathematics, Numbers, Machine, Learning, Applied, Computer, Science"
Permutation-free Strings,Bubbler,3 kyu,"Sep 10, 2017",33,6,637,254,348,53,53,81,13,10,1,2,3.0,3 kyu,3 kyu,4 kyu,"Algorithms, Dynamic, Programming, Mathematics, Numbers"
Domino Tiling - 5 x 2N Board,Bubbler,4 kyu,"Feb 14, 2018",9,6,306,142,171,33,12,95,22,21,0,1,3.0,4 kyu,4 kyu,4 kyu,"Puzzles, Games, Mathematics, Algorithms, Numbers, Dynamic, Programming"
Undirected weighted graph,g964,4 kyu,"Mar 18, 2018",68,14,636,149,962,87,87,85,33,25,6,2,3.0,4 kyu,4 kyu,6 kyu,"Fundamentals, Lists, Data, Structures, Graphs"
Castle of Cubes,Cépagrave,5 kyu,"Apr 26, 2019",12,0,171,12,484,17,17,100,8,8,0,0,3.0,4 kyu,4 kyu,6 kyu,Algorithms
Basic Mathematical Operations,Quickz,8 kyu,"May 13, 2016",426,130,72461,3553,128908,57337,"24,403",89,6150,4955,1070,125,,,,,"Fundamentals, Mathematics, Algorithms, Numbers, Operators"
Square Pi's,Heated,7 kyu,"May 7, 2019",9,0,1149,35,2786,569,189,86,163,126,28,9,53.0,6 kyu,1 kyu,8 kyu,"Algorithms, Sequences, Arrays"
Complete the table pattern,myjinxin2015,6 kyu,"Nov 13, 2016",23,10,1192,46,2795,563,224,95,150,138,9,3,7.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Make Class,Jomo Pipi,7 kyu,"Sep 10, 2019",43,17,2099,39,3523,517,319,85,125,98,17,10,5.0,7 kyu,7 kyu,8 kyu,"Algorithms, Games, Object, Programming"
Four Letter Words ~ Mutations,rowcased,5 kyu,"Aug 15, 2019",18,6,491,42,3812,91,19,93,38,34,3,1,9.0,5 kyu,5 kyu,8 kyu,"Algorithms, Strings, Arrays, Games, Control, Flow, Basic, Language, Features, Fundamentals, Loops, Parsing"
Is it a palindrome?,wichu,8 kyu,"Aug 3, 2016",73,32,12026,205,28592,8040,414,92,1361,1159,179,23,8.0,7 kyu,7 kyu,8 kyu,Fundamentals
Simple multiplication,grace555,8 kyu,"Nov 24, 2016",103,36,25237,761,38862,21935,"8,099",91,3072,2546,472,54,10.0,7 kyu,7 kyu,8 kyu,Fundamentals
Keith Numbers,AndreyUsyaev,6 kyu,"May 7, 2017",9,1,313,11,414,153,39,92,51,45,4,2,11.0,6 kyu,5 kyu,8 kyu,"Algorithms, Numbers, Mathematics"
Password validator,tdowek1,7 kyu,"Jan 30, 2016",54,20,2495,34,6824,1553,960,91,278,233,41,4,,,,,"Fundamentals, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Strings, Validation, Algorithms"
Odder than the rest - 2,JohanWiltink,7 kyu,"Sep 6, 2019",6,2,402,11,2163,69,11,63,26,13,7,6,5.0,7 kyu,6 kyu,8 kyu,"Algorithms, Numbers"
Infinite Diceworks: MeanMaxing your rolls,Voile,6 kyu,"Mar 29, 2017",9,6,358,38,553,62,22,94,17,15,2,0,3.0,5 kyu,5 kyu,7 kyu,"Puzzles, Mathematics, Algorithms, Numbers, Dynamic, Programming, Recursion, Computability, Theory, Theoretical, Computer, Science, Statistics, Data"
T.T.T.56: Make a monthly calendar board,myjinxin2015,5 kyu,"Aug 31, 2016",6,5,188,2,425,57,32,93,20,18,1,1,5.0,5 kyu,5 kyu,7 kyu,"Puzzles, Games"
Full Metal Chemist #2: parse me...,Blind4Basics,1 kyu,"Apr 2, 2018",145,26,4095,271,4434,72,27,83,9,7,1,1,3.0,1 kyu,1 kyu,2 kyu,"Puzzles, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Fundamentals, Strings, Parsing, Algorithms"
pipi Numbers!,Jomo Pipi,6 kyu,"May 9, 2018",21,6,542,10,585,90,18,95,39,35,4,0,5.0,6 kyu,6 kyu,7 kyu,"Algorithms, Mathematics, Numbers, Performance"
Count by X,shums16,8 kyu,"Mar 26, 2015",270,78,31970,1651,65805,23908,"10,860",92,2700,2333,320,47,,,,,"Fundamentals, Arrays, Numbers"
Circularly Sorted Array,JTSHEP,6 kyu,"Oct 23, 2014",58,15,3345,640,10442,1676,973,93,218,192,23,3,,,,,"Algorithms, Sorting"
Framed Reflection,PG1,6 kyu,"Oct 28, 2016",37,11,2696,164,9533,1141,432,91,261,218,38,5,8.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Strings, Arrays"
Euler Totient Function,Were_Cat,5 kyu,"Jul 18, 2014",15,3,334,48,492,123,57,95,44,40,4,0,10.0,5 kyu,4 kyu,7 kyu,"Algorithms, Mathematics, Numbers"
compute cube as sums,a15n,6 kyu,"Feb 23, 2017",22,3,1072,39,2532,370,167,92,102,87,13,2,5.0,6 kyu,5 kyu,7 kyu,"Puzzles, Arithmetic, Mathematics, Algorithms, Numbers"
Count Odd Numbers below n,kodejuice,8 kyu,"Jun 5, 2017",217,40,28193,679,74700,18809,"6,039",87,2821,2226,475,120,27.0,7 kyu,6 kyu,8 kyu,"Puzzles, Games, Performance, Algorithms"
Make Equal,kodejuice,7 kyu,"Jul 4, 2019",3,0,556,6,1901,264,247,87,101,79,18,4,18.0,6 kyu,5 kyu,8 kyu,Fundamentals
String counting,KenKamau,6 kyu,"Jun 9, 2019",23,3,817,47,353,22,10,93,7,6,1,0,3.0,6 kyu,5 kyu,7 kyu,Fundamentals
Two Sum,wthit56,6 kyu,"Dec 31, 2013",487,138,46117,7447,85480,23242,"7,013",88,2697,2097,539,61,,,,,"Fundamentals, Arrays, Numbers, Integers, Arithmetic, Mathematics, Algorithms"
Add All,DarkD1,6 kyu,"Aug 22, 2018",28,4,1207,55,2258,187,45,86,76,60,10,6,4.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Convert the score,Nspringham,7 kyu,"Aug 9, 2018",33,14,2625,19,5193,1641,996,93,301,267,27,7,7.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Objects, Arrays"
Array Mash,benjicwood,7 kyu,"Nov 11, 2016",9,3,911,5,1639,745,448,92,230,196,29,5,26.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Arrays, Numbers, Strings"
Count ones in a segment,d0n14,4 kyu,"Jul 17, 2017",429,95,9342,2684,13756,1382,308,94,300,270,23,7,8.0,4 kyu,4 kyu,6 kyu,"Algorithms, Binary, Numbers, Performance"
Sum of Odd Cubed Numbers,elliottmck,7 kyu,"Oct 24, 2016",77,36,9983,1242,29391,5597,"2,354",89,1074,866,184,24,9.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Functional, Programming, Declarative, Programming, Higher, Functions, Functions, Control, Flow, Basic, Language, Features, Arrays"
Find X Ⅱ,kodejuice,6 kyu,"Jul 21, 2019",9,1,383,18,734,58,19,90,29,24,4,1,10.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Optimization, Numbers"
Simple Fun #53: Combs,myjinxin2015,5 kyu,"Jan 26, 2017",34,11,717,54,1548,183,47,98,62,60,2,0,5.0,5 kyu,5 kyu,5 kyu,"Puzzles, Games"
Negation of a Value,kodejuice,7 kyu,"Apr 19, 2017",13,3,1803,35,7522,1159,606,88,260,206,45,9,13.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Algorithms"
Eliminate the intruders! Bit manipulation,marrakchino,7 kyu,"Nov 16, 2017",23,13,2245,42,7201,1470,176,90,317,262,45,10,4.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Bits, Binary, Strings"
N Linear,coryshrmn,4 kyu,"Mar 10, 2018",85,25,1287,302,4028,260,83,88,69,56,9,4,3.0,4 kyu,4 kyu,5 kyu,"Refactoring, Algorithms, Numbers, Mathematics"
Bin to Decimal,wichu,8 kyu,"Aug 6, 2016",93,48,12490,247,21986,9199,228,91,1506,1256,216,34,,,,,"Fundamentals, Binary, Decimals, Numbers"
How many stairs will Suzuki climb in 20 years?,user8476848,8 kyu,"Mar 31, 2016",130,35,13567,358,24871,8246,"2,694",89,1286,1037,205,44,,,,,Fundamentals
T.T.T.#2: Equal to 24,myjinxin2015,4 kyu,"May 30, 2016",122,28,2293,520,3710,479,227,95,129,119,8,2,5.0,4 kyu,4 kyu,6 kyu,"Puzzles, Games"
Fastest Code : Equal to 24,myjinxin2015,2 kyu,"Jun 1, 2016",178,38,2834,622,6286,499,260,92,114,97,16,1,5.0,2 kyu,2 kyu,4 kyu,"Puzzles, Games"
Product of Array Items,Dana,7 kyu,"Apr 27, 2017",26,9,4883,92,12067,3176,373,88,611,473,124,14,15.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Ten-Pin Bowling,dnolan,4 kyu,"Apr 18, 2015",309,65,11271,4753,31437,2219,591,93,449,394,48,7,9.0,4 kyu,3 kyu,6 kyu,"Algorithms, Puzzles, Games"
Palindrome Strings,antenor,8 kyu,"Aug 5, 2016",73,35,16557,282,31441,13693,"10,024",89,1345,1103,195,47,,,,,Fundamentals
Rectangle into Rectangles,elzoughby,5 kyu,"Feb 27, 2017",55,18,931,172,1949,112,26,96,37,35,1,1,6.0,5 kyu,4 kyu,6 kyu,"Puzzles, Games, Fundamentals, Algorithms, Geometry, Algebra, Mathematics"
Matrix Determinant,pjfranzini,4 kyu,"Dec 7, 2013",843,166,27161,9630,48479,8724,615,92,1174,1000,150,24,,,,,"Algorithms, Graphs, Data, Structures, Linear, Algebra, Algebra, Mathematics, Numbers, Recursion, Computability, Theory, Theoretical, Computer, Science"
Prime Streaming (PG-13),jcsahnwaldt,3 kyu,"Mar 30, 2015",327,58,9247,2714,17764,1991,863,91,363,306,49,8,14.0,3 kyu,1 kyu,6 kyu,Algorithms
No Loops 1 - Small enough?,PG1,7 kyu,"Sep 4, 2016",16,5,1859,20,4381,1248,762,91,346,298,34,14,71.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Booleans, Numbers, Arrays"
Make a function that does arithmetic!,ZooeyMiller,7 kyu,"Nov 30, 2016",166,66,25922,2517,40496,19643,"7,242",87,2331,1785,477,69,8.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Objects, Arithmetic, Mathematics, Algorithms, Numbers"
Mahjong - #1 Pure Hand,Hacker Sakana,4 kyu,"Jan 31, 2016",48,19,864,266,1184,140,58,95,39,36,2,1,7.0,3 kyu,3 kyu,5 kyu,"Algorithms, Games"
n-th reversible prime,myjinxin2015,6 kyu,"Nov 12, 2016",13,5,545,18,973,116,61,88,50,43,2,5,4.0,6 kyu,6 kyu,6 kyu,"Algorithms, Puzzles, Games"
Next Version,AzariasB,6 kyu,"Feb 14, 2016",68,16,2907,73,11949,1563,717,94,265,234,28,3,,,,,"Algorithms, Arrays, Strings"
Secret Agent Time Travel Calculations,Foobywalla,5 kyu,"Dec 16, 2018",17,0,546,124,917,70,23,98,22,21,1,0,6.0,5 kyu,3 kyu,7 kyu,"Algorithms, Dates, Time, Conditional, Statements, Control, Flow, Basic, Language, Features, Fundamentals, Ranges"
Hanoi Tower Array,jamad,6 kyu,"Nov 8, 2017",10,1,337,73,341,43,43,83,15,10,5,0,5.0,5 kyu,5 kyu,7 kyu,Algorithms
Combinations xor sum,kodejuice,6 kyu,"Oct 8, 2018",10,5,612,20,353,40,40,87,19,16,1,2,7.0,5 kyu,4 kyu,7 kyu,"Algorithms, Mathematics, Numbers"
Buying the Farm : Irrigation,gopheratl,5 kyu,"May 10, 2018",24,6,412,65,222,17,1,100,5,5,0,0,3.0,4 kyu,4 kyu,5 kyu,"Algorithms, Geometry, Algebra, Mathematics, Dynamic, Arrays, Arrays, Functional, Programming, Declarative, Programming, Vectors"
Circular Limited Sums,Bubbler,4 kyu,"Aug 17, 2017",13,6,277,35,268,30,30,92,12,10,2,0,4.0,3 kyu,3 kyu,4 kyu,"Algorithms, Fundamentals, Mathematics, Numbers, Dynamic, Programming"
Challenge Fun #20: Edge Detection,myjinxin2015,4 kyu,"Mar 8, 2017",34,11,492,116,320,26,15,90,10,8,2,0,3.0,4 kyu,4 kyu,5 kyu,Algorithms
Remember members decorator,zellerede,4 kyu,"Apr 22, 2016",52,25,623,134,1522,103,103,96,38,35,3,0,7.0,4 kyu,2 kyu,6 kyu,"Fundamentals, Decorator, Design, Patterns, Design, Principles, Object, Programming, Singleton"
Egg Drops,ecolban,4 kyu,"Feb 29, 2016",40,10,407,17,1773,47,47,100,12,12,0,0,3.0,4 kyu,4 kyu,4 kyu,"Puzzles, Recursion, Algorithms, Computability, Theory, Theoretical, Computer, Science, Dynamic, Programming"
Recursive Floor Sequence,NaMe613,5 kyu,"Feb 10, 2016",7,5,377,38,538,48,22,96,14,13,1,0,3.0,4 kyu,3 kyu,6 kyu,"Algorithms, Sequences, Arrays, Numbers"
"If you can't sleep, just count sheep!!",joshra,8 kyu,"May 25, 2018",217,67,32153,981,79423,23007,"1,022",92,2918,2499,385,34,12.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Loops, Control, Flow, Basic, Language, Features"
"Cracking the Vigenère cipher, step 1: determining key length",NaMe613,4 kyu,"Aug 21, 2015",31,7,370,29,651,41,41,97,18,17,1,0,4.0,4 kyu,4 kyu,5 kyu,"Algorithms, Strings, Cryptography, Security, Ciphers"
[Geometry A-1.1] Modify point location detector to handle zero-length vectors and precision errors [DRY],MMMAAANNN,6 kyu,"May 11, 2015",4,0,146,22,565,29,29,83,18,13,4,1,10.0,5 kyu,5 kyu,7 kyu,"Refactoring, Geometry, Algebra, Mathematics, Algorithms, Programming, Principles"
Context manager decorator,Dundee,5 kyu,"Feb 15, 2015",23,6,552,227,233,73,73,90,24,19,5,0,8.0,5 kyu,5 kyu,6 kyu,"Fundamentals, Advanced, Language, Features"
The fusc function -- Part 2,ecolban,4 kyu,"Apr 5, 2016",145,29,5307,2483,3825,612,294,93,160,142,13,5,8.0,4 kyu,2 kyu,7 kyu,Algorithms
Sums of Perfect Squares,pikapike,4 kyu,"Dec 21, 2017",217,53,4715,1030,13117,709,289,90,147,124,18,5,4.0,4 kyu,3 kyu,6 kyu,"Algorithms, Mathematics, Numbers"
BAD Hash - String to Int,Bigg-T,7 kyu,"Jul 18, 2017",5,0,396,21,656,138,64,78,56,36,15,5,11.0,6 kyu,6 kyu,8 kyu,Fundamentals
[Minecraft Series #1] Steve wants to build a beacon pyramid,arwengu,6 kyu,"Nov 26, 2016",10,3,431,19,1188,204,31,95,70,64,5,1,7.0,6 kyu,6 kyu,8 kyu,Algorithms
Basic variable assignment,Ira,8 kyu,"Jan 11, 2013",62,22,19655,360,32877,16298,"2,808",73,2096,1270,519,307,,,,,Bugs
String transformer,tonytangau,6 kyu,"Jan 13, 2017",77,27,5327,482,16066,3349,"1,710",92,578,499,66,13,12.0,6 kyu,6 kyu,7 kyu,Fundamentals
Count Squares In the Chess Board,myjinxin2015,4 kyu,"Oct 18, 2018",89,21,1090,249,1420,123,34,97,44,41,3,0,7.0,4 kyu,3 kyu,6 kyu,"Algorithms, Dynamic, Programming"
Incrementer ,kkavita92,7 kyu,"May 6, 2017",18,8,2287,32,5402,1625,731,93,352,307,39,6,10.0,7 kyu,6 kyu,8 kyu,Fundamentals
Array comparator,veitsi,7 kyu,"Oct 3, 2015",25,9,3628,108,8079,2511,"1,517",88,339,270,58,11,,,,,"Fundamentals, Arrays"
Codewars style ranking system,jhoffner,4 kyu,"Aug 22, 2013",878,117,29402,10614,169921,7723,811,88,980,774,170,36,,,,,"Algorithms, Rules"
Vasya and Stairs,AlexIsHappy,6 kyu,"Apr 8, 2015",62,4,3075,874,7238,1049,254,90,104,88,11,5,,,,,"Algorithms, Mathematics, Numbers, Fundamentals"
Pair of gloves,AzariasB,6 kyu,"Nov 9, 2016",12,8,1359,42,4452,914,377,93,246,217,22,7,8.0,6 kyu,6 kyu,7 kyu,"Puzzles, Arrays"
 Baby shark lyrics generator,albertogcmr,7 kyu,"Jun 17, 2019",60,11,3333,83,9776,1251,622,84,275,206,49,20,24.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Strings, Lists, Data, Structures"
Histogram - V1,dinglemouse,5 kyu,"Sep 11, 2016",75,25,2238,518,7604,670,140,87,181,140,34,7,10.0,5 kyu,5 kyu,7 kyu,"Algorithms, Strings, Loops, Control, Flow, Basic, Language, Features, Fundamentals"
Covfefe,AzariasB,7 kyu,"Jun 1, 2017",34,14,4187,120,10872,2868,846,90,610,494,104,12,14.0,7 kyu,7 kyu,8 kyu,"Puzzles, Strings"
What's in a name?,chrisaw,6 kyu,"Oct 9, 2017",70,31,2968,133,10938,1551,633,94,308,274,29,5,21.0,6 kyu,5 kyu,7 kyu,Fundamentals
Nice Array,aweleshetu,7 kyu,"Sep 12, 2017",55,13,4389,87,19496,2545,"1,270",89,449,365,68,16,14.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Arrays, Mathematics, Algorithms, Numbers"
Numerical Palindrome #1,kkavita92,7 kyu,"Mar 31, 2017",22,7,2313,47,7753,1734,791,91,444,378,56,10,25.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Numbers, Integers"
Faro Shuffle Count,DZGoldman,6 kyu,"Aug 23, 2016",17,16,1262,33,2045,427,266,93,101,88,11,2,5.0,5 kyu,5 kyu,6 kyu,"Fundamentals, Lists, Data, Structures, Iterators, Control, Flow, Object, Programming, Basic, Language, Features"
Simple number triangle,KenKamau,6 kyu,"Feb 24, 2018",22,6,612,24,1171,231,178,88,80,65,11,4,4.0,6 kyu,6 kyu,7 kyu,Algorithms
Alphabetically ordered ,riyakayal,7 kyu,"Feb 11, 2018",29,7,2396,52,3566,1507,"1,082",90,330,272,50,8,40.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Strings, Loops, Control, Flow, Basic, Language, Features"
2D array inner join,mik,6 kyu,"Feb 7, 2016",6,2,402,1,1120,117,53,88,47,37,9,1,13.0,6 kyu,6 kyu,8 kyu,Fundamentals
Simple Fun #263: Even Numbers Before Fixed,myjinxin2015,7 kyu,"May 10, 2017",4,7,612,4,1027,435,237,93,129,110,19,0,6.0,6 kyu,6 kyu,7 kyu,Fundamentals
Hello World - Without Strings,user9079873,7 kyu,"Dec 10, 2016",20,10,2456,40,6450,1075,583,89,286,238,35,13,8.0,7 kyu,7 kyu,8 kyu,"Puzzles, Strings"
Kata 2019: Bonus Game I,myjinxin2015,5 kyu,"Jan 3, 2019",27,4,601,27,1926,95,33,95,33,31,1,1,9.0,5 kyu,4 kyu,7 kyu,"Algorithms, Dynamic, Programming"
Find all pairs,Rubos,7 kyu,"Feb 2, 2019",32,15,4236,63,10163,2607,345,91,409,345,54,10,58.0,6 kyu,1 kyu,8 kyu,"Fundamentals, Arrays"
Count the smiley faces!,St3f4n,6 kyu,"Nov 20, 2016",917,279,80433,15283,209911,42142,"12,766",90,4920,3974,864,82,10.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Strings"
Puzzle Fighter,docgunthrop,1 kyu,"Dec 26, 2017",110,12,2639,201,2522,116,32,96,23,22,0,1,3.0,2 kyu,1 kyu,4 kyu,"Algorithms, Games"
WeIrD StRiNg CaSe,xDranik,6 kyu,"Dec 23, 2013",444,112,47312,6825,121398,24524,"11,324",88,2681,2099,495,87,,,,,"Algorithms, Utilities, Strings"
Find Nearest square number,riyakayal,8 kyu,"Feb 11, 2018",106,32,11234,297,18396,6258,"2,466",90,1032,857,148,27,12.0,7 kyu,7 kyu,8 kyu,Fundamentals
Total increasing or decreasing numbers up to a power of 10,GiacomoSorbi,4 kyu,"Jul 24, 2015",323,36,8663,3994,9272,888,327,91,165,140,19,6,,,,,"Puzzles, Arithmetic, Mathematics, Algorithms, Numbers"
Grouped by commas,agram,6 kyu,"Nov 2, 2013",95,24,8277,703,19722,5561,"1,074",92,638,548,77,13,,,,,"Algorithms, String, Formatting, Formatting, Strings, Numbers"
The observed PIN,BattleRattle,4 kyu,"Oct 20, 2013",1777,320,47342,11656,87736,16136,"4,673",94,2217,1966,235,16,,,,,Algorithms
Connect 4,adrian.eyre,5 kyu,"Jan 3, 2017",286,73,5707,1290,15240,916,57,96,214,197,16,1,10.0,5 kyu,5 kyu,6 kyu,"Fundamentals, Arrays, Classes, Basic, Language, Features, Object, Programming"
Driving Licence,adrian.eyre,7 kyu,"Jan 2, 2017",143,47,5280,252,16515,2030,156,87,459,365,71,23,10.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Strings, Arrays"
Exclamation marks series #15: Replace the pair of exclamation marks and question marks to spaces,myjinxin2015,6 kyu,"Oct 10, 2016",10,2,307,9,477,81,49,95,41,38,2,1,9.0,6 kyu,6 kyu,7 kyu,Fundamentals
Exclamation marks series #10: Remove some exclamation marks to keep the same number of exclamation marks at the beginning and end of each word,myjinxin2015,6 kyu,"Oct 10, 2016",15,9,783,44,2178,402,220,96,129,119,9,1,8.0,6 kyu,5 kyu,8 kyu,Fundamentals
Exclamation marks series #16: Find the longest successive exclamation marks and question marks combination in the string,myjinxin2015,6 kyu,"Oct 10, 2016",8,4,275,3,819,127,73,98,64,61,3,0,8.0,6 kyu,5 kyu,7 kyu,Fundamentals
Sum of a Beach,megawatt,7 kyu,"Jun 30, 2018",58,18,4826,61,8802,2806,287,92,483,410,66,7,11.0,7 kyu,7 kyu,8 kyu,"Algorithms, Fundamentals, Numbers, Strings, Loops, Control, Flow, Basic, Language, Features, Regular, Expressions, Declarative, Programming, Advanced, Language, Features"
Kata 2019: Bonus Game II,myjinxin2015,5 kyu,"Jan 4, 2019",21,5,343,16,589,18,7,92,6,5,1,0,3.0,5 kyu,4 kyu,6 kyu,"Algorithms, Dynamic, Programming, Performance"
Regular expression for binary numbers divisible by 5,aswitalski,4 kyu,"Nov 15, 2015",179,54,6713,2607,8372,1126,399,90,260,221,25,14,8.0,4 kyu,3 kyu,5 kyu,"Algorithms, Binary, Numbers, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Fundamentals, Strings"
Rotate a square matrix like a vortex,user5036852,5 kyu,"Mar 24, 2017",54,16,1041,262,1650,250,26,95,76,69,7,0,5.0,5 kyu,5 kyu,5 kyu,"Algorithms, Basic, Language, Features, Fundamentals, Arrays, Numbers"
Plenty of Fish in the Pond,adrian.eyre,6 kyu,"Apr 29, 2017",71,22,1991,199,6458,720,33,94,211,187,22,2,8.0,5 kyu,5 kyu,6 kyu,Fundamentals
Sorting by bits,kodejuice,6 kyu,"Nov 5, 2017",42,7,2015,86,4430,967,358,92,219,190,22,7,4.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Arrays, Algorithms, Data, Structures"
Alternating between three values,kgashok,7 kyu,"Jul 13, 2017",9,8,894,12,1219,597,342,89,216,176,34,6,26.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Dictionary, Data, Structures, Conditional, Statements, Control, Flow, Basic, Language, Features"
SHA-256 Cracker,alexpop,6 kyu,"Jan 18, 2017",41,16,1195,56,1296,391,53,94,120,108,9,3,12.0,6 kyu,5 kyu,7 kyu,"Puzzles, Security, Algorithms, Hashes, Data, Structures, Decryption, Cryptography"
Loose Change!,Caders,7 kyu,"Sep 20, 2016",12,3,1874,30,5456,1235,518,90,251,210,31,10,9.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Basic, Language, Features"
Playing With Toy Blocks ~ Can you build a 4x4 square?,rowcased,6 kyu,"Jul 16, 2019",23,3,724,16,2293,219,24,96,50,46,4,0,9.0,6 kyu,5 kyu,8 kyu,"Algorithms, Arrays, Games, Puzzles, Geometry, Algebra, Mathematics"
All Inclusive?,g964,7 kyu,"Apr 3, 2016",198,39,14299,2653,29795,4719,303,91,762,636,109,17,,,,,"Fundamentals, Strings"
Area of House from Path of Mouse,docgunthrop,4 kyu,"Jul 19, 2019",83,27,782,45,2395,86,54,93,35,32,1,2,4.0,4 kyu,3 kyu,7 kyu,"Algorithms, Strings, Puzzles, Games"
Shortest steps to a number,bdowds,6 kyu,"May 9, 2019",46,13,2533,53,4128,1513,170,94,241,214,23,4,29.0,6 kyu,6 kyu,8 kyu,"Puzzles, Games, Mathematics, Algorithms, Numbers, Fundamentals, Loops, Control, Flow, Basic, Language, Features, Sequences, Arrays"
Return the closest number multiple of 10,brunolm,7 kyu,"Nov 10, 2016",12,10,2559,28,5954,1979,984,95,555,504,43,8,8.0,7 kyu,6 kyu,8 kyu,"Algorithms, Mathematics, Numbers"
